corssover_type,selection_type,crossover_propability,mutation_propability,population_size,best_result 
one_point,tournament,0.3,0.9,15,423
one_point,tournament,0.4,0.9,15,492
one_point,tournament,0.5,0.9,15,454
one_point,tournament,0.6,0.9,15,418
one_point,tournament,0.7,0.9,15,455
one_point,tournament,0.8,0.9,15,457
one_point,tournament,0.9,0.9,15,489
one_point,tournament,1,0.9,15,526
one_point,tournament,0,1,15,337
one_point,tournament,0.1,1,15,374
one_point,tournament,0.2,1,15,353
one_point,tournament,0.3,1,15,370
one_point,tournament,0.4,1,15,404
one_point,tournament,0.5,1,15,473
one_point,tournament,0.6,1,15,419
one_point,tournament,0.7,1,15,491
one_point,tournament,0.8,1,15,455
one_point,tournament,0.9,1,15,516
one_point,tournament,1,1,15,444
one_point,tournament,0,0,20,377
one_point,tournament,0.1,0,20,372
one_point,tournament,0.2,0,20,429
one_point,tournament,0.3,0,20,441
one_point,tournament,0.4,0,20,468
one_point,tournament,0.5,0,20,414
one_point,tournament,0.6,0,20,521
one_point,tournament,0.7,0,20,451
one_point,tournament,0.8,0,20,428
one_point,tournament,0.9,0,20,469
one_point,tournament,1,0,20,533
one_point,tournament,0,0.1,20,383
one_point,tournament,0.1,0.1,20,331
one_point,tournament,0.2,0.1,20,374
one_point,tournament,0.3,0.1,20,434
one_point,tournament,0.4,0.1,20,446
one_point,tournament,0.5,0.1,20,443
one_point,tournament,0.6,0.1,20,458
one_point,tournament,0.7,0.1,20,421
one_point,tournament,0.8,0.1,20,535
one_point,tournament,0.9,0.1,20,474
one_point,tournament,1,0.1,20,418
one_point,tournament,0,0.2,20,281
one_point,tournament,0.1,0.2,20,295
one_point,tournament,0.2,0.2,20,415
one_point,tournament,0.3,0.2,20,439
one_point,tournament,0.4,0.2,20,417
one_point,tournament,0.5,0.2,20,470
one_point,tournament,0.6,0.2,20,541
one_point,tournament,0.7,0.2,20,461
one_point,tournament,0.8,0.2,20,490
one_point,tournament,0.9,0.2,20,507
one_point,tournament,1,0.2,20,463
one_point,tournament,0,0.3,20,389
one_point,tournament,0.1,0.3,20,475
one_point,tournament,0.2,0.3,20,414
one_point,tournament,0.3,0.3,20,445
one_point,tournament,0.4,0.3,20,459
one_point,tournament,0.5,0.3,20,449
one_point,tournament,0.6,0.3,20,480
one_point,tournament,0.7,0.3,20,442
one_point,tournament,0.8,0.3,20,473
one_point,tournament,0.9,0.3,20,484
one_point,tournament,1,0.3,20,452
one_point,tournament,0,0.4,20,339
one_point,tournament,0.1,0.4,20,289
one_point,tournament,0.2,0.4,20,499
one_point,tournament,0.3,0.4,20,356
one_point,tournament,0.4,0.4,20,424
one_point,tournament,0.5,0.4,20,412
one_point,tournament,0.6,0.4,20,400
one_point,tournament,0.7,0.4,20,406
one_point,tournament,0.8,0.4,20,506
one_point,tournament,0.9,0.4,20,416
one_point,tournament,1,0.4,20,486
one_point,tournament,0,0.5,20,342
one_point,tournament,0.1,0.5,20,397
one_point,tournament,0.2,0.5,20,355
one_point,tournament,0.3,0.5,20,439
one_point,tournament,0.4,0.5,20,476
one_point,tournament,0.5,0.5,20,447
one_point,tournament,0.6,0.5,20,463
one_point,tournament,0.7,0.5,20,437
one_point,tournament,0.8,0.5,20,457
one_point,tournament,0.9,0.5,20,480
one_point,tournament,1,0.5,20,503
one_point,tournament,0,0.6,20,380
one_point,tournament,0.1,0.6,20,430
one_point,tournament,0.2,0.6,20,430
one_point,tournament,0.3,0.6,20,544
one_point,tournament,0.4,0.6,20,470
one_point,tournament,0.5,0.6,20,384
one_point,tournament,0.6,0.6,20,513
one_point,tournament,0.7,0.6,20,462
one_point,tournament,0.8,0.6,20,507
one_point,tournament,0.9,0.6,20,416
one_point,tournament,1,0.6,20,455
one_point,tournament,0,0.7,20,392
one_point,tournament,0.1,0.7,20,377
one_point,tournament,0.2,0.7,20,356
one_point,tournament,0.3,0.7,20,369
one_point,tournament,0.4,0.7,20,386
one_point,tournament,0.5,0.7,20,511
one_point,tournament,0.6,0.7,20,477
one_point,tournament,0.7,0.7,20,490
one_point,tournament,0.8,0.7,20,465
one_point,tournament,0.9,0.7,20,468
one_point,tournament,1,0.7,20,411
one_point,tournament,0,0.8,20,262
one_point,tournament,0.1,0.8,20,391
one_point,tournament,0.2,0.8,20,469
one_point,tournament,0.3,0.8,20,368
one_point,tournament,0.4,0.8,20,477
one_point,tournament,0.5,0.8,20,431
one_point,tournament,0.6,0.8,20,380
one_point,tournament,0.7,0.8,20,418
one_point,tournament,0.8,0.8,20,532
one_point,tournament,0.9,0.8,20,475
one_point,tournament,1,0.8,20,427
one_point,tournament,0,0.9,20,425
one_point,tournament,0.1,0.9,20,400
one_point,tournament,0.2,0.9,20,400
one_point,tournament,0.3,0.9,20,396
one_point,tournament,0.4,0.9,20,417
one_point,tournament,0.5,0.9,20,409
one_point,tournament,0.6,0.9,20,471
one_point,tournament,0.7,0.9,20,526
one_point,tournament,0.8,0.9,20,481
one_point,tournament,0.9,0.9,20,479
one_point,tournament,1,0.9,20,486
one_point,tournament,0,1,20,381
one_point,tournament,0.1,1,20,373
one_point,tournament,0.2,1,20,504
one_point,tournament,0.3,1,20,403
one_point,tournament,0.4,1,20,452
one_point,tournament,0.5,1,20,446
one_point,tournament,0.6,1,20,439
one_point,tournament,0.7,1,20,404
one_point,tournament,0.8,1,20,467
one_point,tournament,0.9,1,20,540
one_point,tournament,1,1,20,486
two_point,tournament,0,0,5,367
two_point,tournament,0.1,0,5,405
two_point,tournament,0.2,0,5,433
two_point,tournament,0.3,0,5,476
two_point,tournament,0.4,0,5,392
two_point,tournament,0.5,0,5,470
two_point,tournament,0.6,0,5,502
two_point,tournament,0.7,0,5,497
two_point,tournament,0.8,0,5,442
two_point,tournament,0.9,0,5,475
two_point,tournament,1,0,5,469
two_point,tournament,0,0.1,5,391
two_point,tournament,0.1,0.1,5,381
two_point,tournament,0.2,0.1,5,395
two_point,tournament,0.3,0.1,5,447
two_point,tournament,0.4,0.1,5,436
two_point,tournament,0.5,0.1,5,478
two_point,tournament,0.6,0.1,5,511
two_point,tournament,0.7,0.1,5,458
two_point,tournament,0.8,0.1,5,462
two_point,tournament,0.9,0.1,5,424
two_point,tournament,1,0.1,5,474
two_point,tournament,0,0.2,5,307
two_point,tournament,0.1,0.2,5,433
two_point,tournament,0.2,0.2,5,377
two_point,tournament,0.3,0.2,5,440
two_point,tournament,0.4,0.2,5,482
two_point,tournament,0.5,0.2,5,522
two_point,tournament,0.6,0.2,5,467
two_point,tournament,0.7,0.2,5,519
two_point,tournament,0.8,0.2,5,538
two_point,tournament,0.9,0.2,5,532
two_point,tournament,1,0.2,5,481
two_point,tournament,0,0.3,5,374
two_point,tournament,0.1,0.3,5,436
two_point,tournament,0.2,0.3,5,304
two_point,tournament,0.3,0.3,5,432
two_point,tournament,0.4,0.3,5,406
two_point,tournament,0.5,0.3,5,543
two_point,tournament,0.6,0.3,5,499
two_point,tournament,0.7,0.3,5,485
two_point,tournament,0.8,0.3,5,542
two_point,tournament,0.9,0.3,5,537
two_point,tournament,1,0.3,5,481
two_point,tournament,0,0.4,5,296
two_point,tournament,0.1,0.4,5,339
two_point,tournament,0.2,0.4,5,444
two_point,tournament,0.3,0.4,5,397
two_point,tournament,0.4,0.4,5,435
two_point,tournament,0.5,0.4,5,511
two_point,tournament,0.6,0.4,5,543
two_point,tournament,0.7,0.4,5,480
two_point,tournament,0.8,0.4,5,530
two_point,tournament,0.9,0.4,5,530
two_point,tournament,1,0.4,5,484
two_point,tournament,0,0.5,5,280
two_point,tournament,0.1,0.5,5,501
two_point,tournament,0.2,0.5,5,381
two_point,tournament,0.3,0.5,5,523
two_point,tournament,0.4,0.5,5,514
two_point,tournament,0.5,0.5,5,505
two_point,tournament,0.6,0.5,5,405
two_point,tournament,0.7,0.5,5,453
two_point,tournament,0.8,0.5,5,522
two_point,tournament,0.9,0.5,5,535
two_point,tournament,1,0.5,5,532
two_point,tournament,0,0.6,5,345
two_point,tournament,0.1,0.6,5,470
two_point,tournament,0.2,0.6,5,435
two_point,tournament,0.3,0.6,5,409
two_point,tournament,0.4,0.6,5,501
two_point,tournament,0.5,0.6,5,425
two_point,tournament,0.6,0.6,5,520
two_point,tournament,0.7,0.6,5,473
two_point,tournament,0.8,0.6,5,535
two_point,tournament,0.9,0.6,5,544
two_point,tournament,1,0.6,5,531
two_point,tournament,0,0.7,5,391
two_point,tournament,0.1,0.7,5,459
two_point,tournament,0.2,0.7,5,358
two_point,tournament,0.3,0.7,5,410
two_point,tournament,0.4,0.7,5,403
two_point,tournament,0.5,0.7,5,451
two_point,tournament,0.6,0.7,5,500
two_point,tournament,0.7,0.7,5,539
two_point,tournament,0.8,0.7,5,502
two_point,tournament,0.9,0.7,5,385
two_point,tournament,1,0.7,5,534
two_point,tournament,0,0.8,5,399
two_point,tournament,0.1,0.8,5,371
two_point,tournament,0.2,0.8,5,456
two_point,tournament,0.3,0.8,5,420
two_point,tournament,0.4,0.8,5,519
two_point,tournament,0.5,0.8,5,468
two_point,tournament,0.6,0.8,5,500
two_point,tournament,0.7,0.8,5,419
two_point,tournament,0.8,0.8,5,491
two_point,tournament,0.9,0.8,5,552
two_point,tournament,1,0.8,5,467
two_point,tournament,0,0.9,5,350
two_point,tournament,0.1,0.9,5,382
two_point,tournament,0.2,0.9,5,422
two_point,tournament,0.3,0.9,5,407
two_point,tournament,0.4,0.9,5,447
two_point,tournament,0.5,0.9,5,373
two_point,tournament,0.6,0.9,5,493
two_point,tournament,0.7,0.9,5,496
two_point,tournament,0.8,0.9,5,529
two_point,tournament,0.9,0.9,5,505
two_point,tournament,1,0.9,5,517
two_point,tournament,0,1,5,414
two_point,tournament,0.1,1,5,412
two_point,tournament,0.2,1,5,342
two_point,tournament,0.3,1,5,524
two_point,tournament,0.4,1,5,413
two_point,tournament,0.5,1,5,409
two_point,tournament,0.6,1,5,484
two_point,tournament,0.7,1,5,408
two_point,tournament,0.8,1,5,450
two_point,tournament,0.9,1,5,464
two_point,tournament,1,1,5,538
two_point,tournament,0,0,10,493
two_point,tournament,0.1,0,10,454
two_point,tournament,0.2,0,10,484
two_point,tournament,0.3,0,10,493
two_point,tournament,0.4,0,10,470
two_point,tournament,0.5,0,10,424
two_point,tournament,0.6,0,10,452
two_point,tournament,0.7,0,10,542
two_point,tournament,0.8,0,10,472
two_point,tournament,0.9,0,10,538
two_point,tournament,1,0,10,527
two_point,tournament,0,0.1,10,369
two_point,tournament,0.1,0.1,10,417
two_point,tournament,0.2,0.1,10,449
two_point,tournament,0.3,0.1,10,438
two_point,tournament,0.4,0.1,10,418
two_point,tournament,0.5,0.1,10,398
two_point,tournament,0.6,0.1,10,468
two_point,tournament,0.7,0.1,10,530
two_point,tournament,0.8,0.1,10,469
two_point,tournament,0.9,0.1,10,472
two_point,tournament,1,0.1,10,530
two_point,tournament,0,0.2,10,429
two_point,tournament,0.1,0.2,10,388
two_point,tournament,0.2,0.2,10,422
two_point,tournament,0.3,0.2,10,503
two_point,tournament,0.4,0.2,10,444
two_point,tournament,0.5,0.2,10,381
two_point,tournament,0.6,0.2,10,504
two_point,tournament,0.7,0.2,10,493
two_point,tournament,0.8,0.2,10,497
two_point,tournament,0.9,0.2,10,515
two_point,tournament,1,0.2,10,494
two_point,tournament,0,0.3,10,390
two_point,tournament,0.1,0.3,10,373
two_point,tournament,0.2,0.3,10,426
two_point,tournament,0.3,0.3,10,434
two_point,tournament,0.4,0.3,10,448
two_point,tournament,0.5,0.3,10,467
two_point,tournament,0.6,0.3,10,489
two_point,tournament,0.7,0.3,10,560
two_point,tournament,0.8,0.3,10,459
two_point,tournament,0.9,0.3,10,488
two_point,tournament,1,0.3,10,509
two_point,tournament,0,0.4,10,337
two_point,tournament,0.1,0.4,10,337
two_point,tournament,0.2,0.4,10,404
two_point,tournament,0.3,0.4,10,463
two_point,tournament,0.4,0.4,10,509
two_point,tournament,0.5,0.4,10,486
two_point,tournament,0.6,0.4,10,501
two_point,tournament,0.7,0.4,10,526
two_point,tournament,0.8,0.4,10,526
two_point,tournament,0.9,0.4,10,539
two_point,tournament,1,0.4,10,487
two_point,tournament,0,0.5,10,431
two_point,tournament,0.1,0.5,10,417
two_point,tournament,0.2,0.5,10,405
two_point,tournament,0.3,0.5,10,465
two_point,tournament,0.4,0.5,10,377
two_point,tournament,0.5,0.5,10,438
two_point,tournament,0.6,0.5,10,359
two_point,tournament,0.7,0.5,10,522
two_point,tournament,0.8,0.5,10,489
two_point,tournament,0.9,0.5,10,534
two_point,tournament,1,0.5,10,478
two_point,tournament,0,0.6,10,401
two_point,tournament,0.1,0.6,10,525
two_point,tournament,0.2,0.6,10,454
two_point,tournament,0.3,0.6,10,471
two_point,tournament,0.4,0.6,10,433
two_point,tournament,0.5,0.6,10,438
two_point,tournament,0.6,0.6,10,468
two_point,tournament,0.7,0.6,10,432
two_point,tournament,0.8,0.6,10,488
two_point,tournament,0.9,0.6,10,513
two_point,tournament,1,0.6,10,536
two_point,tournament,0,0.7,10,377
two_point,tournament,0.1,0.7,10,433
two_point,tournament,0.2,0.7,10,407
two_point,tournament,0.3,0.7,10,482
two_point,tournament,0.4,0.7,10,429
two_point,tournament,0.5,0.7,10,359
two_point,tournament,0.6,0.7,10,480
two_point,tournament,0.7,0.7,10,488
two_point,tournament,0.8,0.7,10,546
two_point,tournament,0.9,0.7,10,436
two_point,tournament,1,0.7,10,430
two_point,tournament,0,0.8,10,349
two_point,tournament,0.1,0.8,10,394
two_point,tournament,0.2,0.8,10,452
two_point,tournament,0.3,0.8,10,480
two_point,tournament,0.4,0.8,10,427
two_point,tournament,0.5,0.8,10,469
two_point,tournament,0.6,0.8,10,450
two_point,tournament,0.7,0.8,10,454
two_point,tournament,0.8,0.8,10,511
two_point,tournament,0.9,0.8,10,515
two_point,tournament,1,0.8,10,505
two_point,tournament,0,0.9,10,321
two_point,tournament,0.1,0.9,10,368
two_point,tournament,0.2,0.9,10,491
two_point,tournament,0.3,0.9,10,475
two_point,tournament,0.4,0.9,10,438
two_point,tournament,0.5,0.9,10,528
two_point,tournament,0.6,0.9,10,411
two_point,tournament,0.7,0.9,10,492
two_point,tournament,0.8,0.9,10,531
two_point,tournament,0.9,0.9,10,559
two_point,tournament,1,0.9,10,453
two_point,tournament,0,1,10,458
two_point,tournament,0.1,1,10,415
two_point,tournament,0.2,1,10,416
two_point,tournament,0.3,1,10,454
two_point,tournament,0.4,1,10,420
